dice,hd95
0.775038,9.447958
0.879181,2.620392
0.881776,4.225255
0.789086,5.975413
0.81728,7.36253
0.793927,5
0.876384,4.68515
0.855062,4.225255
0.769241,6.833147
0.871713,3.705794
0.881139,2.620392
0.787774,6.833147
0.753303,8.316277
0.886115,3.515625
0.78224,4.831764
0.867653,3.705794
0.77134,7.861176
0.791439,5
0.771323,5.859375
0.794932,4.6875
0.811716,7.36253
0.848552,3.705794
0.881374,3.703957
0.823508,6.835922
0.841328,5.859375
0.836537,3.705794
0.77981,6.835938
0.867463,3.705794
0.909846,3.312918
0.841884,5.975413
0.837575,4.831764
0.878585,3.515625
0.799667,6.467056
0.874369,3.515625
0.793548,6.31074
0.789253,7.03125
0.834369,4.971845
0.79605,4.6875
0.788264,6.98752
0.758674,6.11337
0.858706,4.68515
0.892761,3.057124
0.83366,4.323455
0.884789,4.6875
